timestamp,ping_google.com [ms]
1503490383,5.9
1503533583,23.8
1503547983,17.8
1503562383,20.7
1503576783,31.5
1503591183,25.6
1503605583,24.7
1503619983,22.7
1503634383,23.3
1503648783,20.8
1503663183,22.2
1503677583,22.8
1503691983,29.7
1503706383,25.0
1503720783,19.0
1503735183,25.0
1503749583,19.6
1503763983,21.0
1503778383,33.1
1503792783,24.2
1503807183,23.6
1503821583,19.9
1503835983,24.6
1503850383,20.9
1503864783,20.7
1503879183,26.0
1503893583,25.0
1503907983,19.1
1503922383,22.7
1503936783,28.6
1503951183,21.7
1503965583,32.6
1503979983,19.0
1503994383,27.4
1504008783,21.9
1504023183,20.7
1504037583,22.9
1504051983,28.7
1504066383,24.9
1504080783,25.7
1504095183,20.2
1504109583,60.8
1504123983,29.5
1504138383,26.2
1504152783,17.5
1504167183,16.9
1504181583,21.3
1504195983,19.0
1504210383,21.7
1504224784,18.2
